minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,home_back_1_price,home_back_1_size,home_lay_1_price,home_lay_1_size,home_back_2_price,home_back_2_size,home_lay_2_price,home_lay_2_size,home_back_3_price,home_back_3_size,home_lay_3_price,home_lay_3_size,away_last_price_traded,away_back_1_price,away_back_1_size,away_lay_1_price,away_lay_1_size,away_back_2_price,away_back_2_size,away_lay_2_price,away_lay_2_size,away_back_3_price,away_back_3_size,away_lay_3_price,away_lay_3_size,draw_last_price_traded,draw_back_1_price,draw_back_1_size,draw_lay_1_price,draw_lay_1_size,draw_back_2_price,draw_back_2_size,draw_lay_2_price,draw_lay_2_size,draw_back_3_price,draw_back_3_size,draw_lay_3_price,draw_lay_3_size
297,2023-05-28T10:30:40.680Z,214080.2171787064,267088.1523889191,1.36,1.36,837.83,1.37,11730.84,1.35,5024.27,1.38,5229.57,1.34,3587.89,1.39,3712.31,10.5,10.0,771.32,10.5,363.41,9.8,122.0,11.0,892.19,9.6,180.89,11.5,486.36,6.0,6.0,457.27,6.2,505.88,5.9,186.54,6.4,1740.22,5.8,267.46,6.6,1446.21
296,2023-05-28T10:33:01.349Z,214605.24983277748,267401.06598230446,1.36,1.36,631.61,1.37,11623.59,1.35,4463.66,1.38,5229.57,1.34,4299.5,1.39,3942.31,10.5,10.0,771.32,10.5,359.95,9.8,136.23,11.0,902.63,9.6,180.89,11.5,486.17,6.2,6.0,429.65,6.2,493.0,5.9,186.54,6.4,1621.97,5.8,267.46,6.6,1624.49
295,2023-05-28T10:31:49.556Z,214148.65032323104,267600.3026240631,1.36,1.36,831.39,1.37,11609.73,1.35,5024.27,1.38,5229.57,1.34,3814.55,1.39,3942.31,10.5,10.0,771.32,10.5,397.09,9.8,122.0,11.0,877.93,9.6,180.89,11.5,486.17,6.0,6.0,429.65,6.2,554.09,5.9,186.54,6.4,1740.22,5.8,267.46,6.6,1447.54
294,2023-05-28T10:34:26.806Z,214819.07029181463,270092.47100137785,1.37,1.36,558.97,1.37,12171.21,1.35,4406.66,1.38,7240.31,1.34,4299.4,1.39,3942.31,10.0,10.0,774.95,10.5,364.02,9.8,136.23,11.0,911.61,9.6,229.89,11.5,540.92,6.2,6.0,429.65,6.2,477.07,5.9,303.74,6.4,1611.94,5.8,147.88,6.6,1656.62
293,2023-05-28T10:34:26.806Z,214819.07029181463,270092.47100137785,1.37,1.36,558.97,1.37,12171.21,1.35,4406.66,1.38,7240.31,1.34,4299.4,1.39,3942.31,10.0,10.0,774.95,10.5,364.02,9.8,136.23,11.0,911.61,9.6,229.89,11.5,540.92,6.2,6.0,429.65,6.2,477.07,5.9,303.74,6.4,1611.94,5.8,147.88,6.6,1656.62
292,2023-05-28T10:34:26.806Z,214819.07029181463,270911.06156479975,1.37,1.36,589.0,1.37,12171.21,1.35,4406.66,1.38,7240.31,1.34,4730.61,1.39,3942.31,10.0,10.0,774.95,10.5,471.35,9.8,136.23,11.0,907.89,9.6,229.89,11.5,540.92,6.2,6.0,429.65,6.2,576.86,5.9,303.74,6.4,1611.94,5.8,147.88,6.6,1650.43
291,2023-05-28T10:35:26.762Z,214854.4872004063,271033.1632581329,1.37,1.36,589.0,1.37,12171.21,1.35,4215.66,1.38,7240.31,1.34,5150.48,1.39,3942.31,10.5,10.0,774.95,10.5,449.72,9.8,136.23,11.0,907.89,9.6,229.89,11.5,540.92,6.2,6.0,429.65,6.2,570.78,5.9,303.74,6.4,1571.66,5.8,147.88,6.6,1689.5
290,2023-05-28T10:36:34.127Z,217321.7948732967,270738.1740351726,1.36,1.35,3824.3,1.36,824.74,1.34,4876.4,1.37,12326.82,1.33,4874.34,1.38,7214.5,10.5,10.0,779.14,10.5,326.01,9.8,214.81,11.0,1035.01,9.6,308.62,11.5,423.2,6.2,6.0,529.2,6.2,395.4,5.9,486.93,6.4,1460.1,5.8,156.7,6.6,1913.7
289,2023-05-28T10:38:00.507Z,218103.79410972493,255556.5827318964,1.35,1.35,3822.71,1.36,2427.88,1.34,3947.06,1.37,11268.69,1.33,5892.4,1.38,6068.64,10.5,10.0,955.7,10.5,331.13,9.8,148.33,11.0,568.52,9.6,386.5,11.5,255.56,6.2,6.0,557.02,6.2,183.91,5.9,711.61,6.4,1466.77,5.8,160.82,6.6,1325.92
288,2023-05-28T10:38:24.127Z,218136.0125097249,255174.83062607143,1.35,1.35,3571.11,1.36,2427.88,1.34,3872.52,1.37,11269.43,1.33,5967.5,1.38,6068.64,10.5,10.0,955.7,10.5,331.13,9.8,148.33,11.0,568.52,9.6,376.09,11.5,255.65,6.2,6.0,557.02,6.2,167.8,5.9,711.78,6.4,1413.7,5.8,160.82,6.6,1325.92
