minutes_to_match,last_match_time,total_matched,total_available,home_last_price_traded,away_last_price_traded,draw_last_price_traded,home_back_1_price,home_back_2_price,home_back_3_price,away_back_1_price,away_back_2_price,away_back_3_price,draw_back_1_price,draw_back_2_price,draw_back_3_price,home_back_1_size,home_back_2_size,home_back_3_size,away_back_1_size,away_back_2_size,away_back_3_size,draw_back_1_size,draw_back_2_size,draw_back_3_size,home_lay_1_price,home_lay_2_price,home_lay_3_price,away_lay_1_price,away_lay_2_price,away_lay_3_price,draw_lay_1_price,draw_lay_2_price,draw_lay_3_price,home_lay_1_size,home_lay_2_size,home_lay_3_size,away_lay_1_size,away_lay_2_size,away_lay_3_size,draw_lay_1_size,draw_lay_2_size,draw_lay_3_size
147,2023-09-30T11:30:26.057Z,311658.5086294347,326307.2840512834,1.59,6.8,4.5,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,6304.96,6481.35,7420.21,490.73,1369.82,1958.6,898.87,3663.23,2747.65,1.6,1.61,1.62,6.8,7.0,7.2,4.5,4.6,4.7,2616.49,9124.48,6300.41,1137.56,1807.36,830.44,588.95,2840.55,4198.63
146,2023-09-30T11:33:03.367Z,314466.9432302487,323535.9959241121,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,,6077.27,4860.98,9091.96,487.3,954.09,2581.64,923.44,3587.11,,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3181.79,8390.32,6288.62,1194.68,1775.64,794.08,2509.43,4223.0,3835.56
145,2023-09-30T11:33:25.179Z,314478.00153501757,323914.6898145779,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,6077.27,4860.98,9068.0,501.73,949.41,2581.7,982.44,3606.25,2629.11,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3072.35,8539.85,6307.13,1168.93,1831.81,794.08,2558.02,4216.62,3821.96
144,2023-09-30T11:33:03.367Z,314466.9432302487,323535.9959241121,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,,6077.27,4860.98,9091.96,487.3,954.09,2581.64,923.44,3587.11,,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3181.79,8390.32,6288.62,1194.68,1775.64,794.08,2509.43,4223.0,3835.56
143,2023-09-30T11:35:05.028Z,314500.7752937156,328856.04444944963,1.6,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3946.81,6860.98,9385.64,538.61,1182.79,2580.57,982.44,4212.27,2006.99,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3067.95,8691.04,8307.13,1552.15,1842.62,783.27,2604.15,3996.39,3828.37
142,2023-09-30T11:33:48.498Z,314487.21584781393,328919.73759886954,1.6,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3946.81,6860.98,9405.51,538.61,1182.79,2580.57,982.44,4212.27,2006.99,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3067.95,8691.04,8307.13,1552.15,1831.81,794.08,2610.93,3996.39,3828.37
141,2023-09-30T11:37:22.415Z,314566.2990701892,316454.8845085242,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3926.07,6727.98,8826.89,538.61,1121.79,2437.68,840.94,3948.98,2049.47,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,2957.99,8682.84,8064.16,1495.75,1593.3,766.96,2604.15,3678.9,3665.21
140,2023-09-30T11:36:50.136Z,314541.13999518915,316848.8697439928,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3937.59,6727.98,8826.89,538.61,1144.79,2450.33,840.94,3980.78,2035.58,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3006.99,8682.84,8064.16,1515.86,1593.3,766.96,2604.15,3703.8,3692.06
139,2023-09-30T11:39:00.958Z,314659.02947018924,320418.82858533197,1.6,6.6,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3919.92,6956.33,10053.34,552.44,1178.79,2481.77,925.94,4024.89,1972.67,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3387.28,8323.5,8267.35,1543.75,1646.73,766.96,3155.3,3727.4,3762.26
138,2023-09-30T11:39:32.948Z,314659.12383485975,320765.52250388556,1.6,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3919.92,7129.81,10053.14,552.44,1178.79,2481.77,976.18,4024.81,1907.48,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3387.28,8323.5,8267.35,1576.21,1646.73,766.96,3155.3,3727.4,3762.26
137,2023-09-30T11:39:32.948Z,314659.12383485975,320765.52250388556,1.6,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3919.92,7129.81,10053.14,552.44,1178.79,2481.77,976.18,4024.81,1907.48,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3387.28,8323.5,8267.35,1576.21,1646.73,766.96,3155.3,3727.4,3762.26
136,2023-09-30T11:42:29.762Z,314874.4669397166,321894.87416495895,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3837.97,7148.34,10009.04,550.55,1182.43,2181.43,974.18,4013.99,1319.76,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3422.07,6719.09,8269.55,1569.37,1645.47,766.96,3725.2,3703.46,3791.66
135,2023-09-30T11:42:29.762Z,314874.4669397166,321686.3233541154,1.59,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3837.97,7135.81,10021.77,550.55,1181.79,2479.45,974.18,4013.99,1915.13,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3378.28,8315.75,8270.18,1569.37,1645.47,766.96,3151.52,3704.33,3790.81
134,2023-09-30T11:43:49.769Z,314883.4074548189,321889.19931527734,1.6,6.8,4.6,1.59,1.58,1.57,6.6,6.4,6.2,4.4,4.3,4.2,3837.97,7148.34,10009.04,550.55,1182.43,2180.27,974.18,4013.99,1318.06,1.6,1.61,1.62,6.8,7.0,7.2,4.6,4.7,4.8,3417.6,6719.09,8269.55,1569.37,1645.47,766.96,3725.2,3703.46,3791.66
